epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1088.09,1.48308,1.62165,1.17329,0.83989,0.7747,0.8294,0.48747,1.41808,1.14504,1.17565,0.000553874,0.000553874,0.000553874
2,2169.46,1.4357,1.08783,1.15724,0.86115,0.77094,0.85321,0.51355,1.37852,0.97464,1.1507,0.00108757,0.00108757,0.00108757
3,3169.6,1.42216,0.99559,1.16409,0.86896,0.79237,0.87119,0.52401,1.33692,0.86642,1.1643,0.00159927,0.00159927,0.00159927
4,4186.43,1.40489,0.93422,1.16002,0.88682,0.8259,0.89527,0.5516,1.36495,0.78737,1.17754,0.00156798,0.00156798,0.00156798
5,5496.53,1.39754,0.90222,1.15554,0.89165,0.79995,0.8822,0.54432,1.35504,0.80014,1.17322,0.00153497,0.00153497,0.00153497
6,6598.99,1.37606,0.87398,1.14619,0.90544,0.8254,0.9074,0.5674,1.30601,0.72114,1.14002,0.00150197,0.00150197,0.00150197
7,7593.57,1.35801,0.82923,1.13327,0.89788,0.83688,0.90978,0.57466,1.30652,0.713,1.13625,0.00146896,0.00146896,0.00146896
8,8631.92,1.34526,0.80916,1.12624,0.90629,0.8405,0.91138,0.56459,1.30493,0.69889,1.14776,0.00143595,0.00143595,0.00143595
9,9749.2,1.32475,0.79186,1.12502,0.89572,0.84416,0.91127,0.57336,1.28338,0.73245,1.13492,0.00140295,0.00140295,0.00140295
10,11328.6,1.32551,0.78449,1.12084,0.90761,0.84962,0.91812,0.5686,1.3107,0.6804,1.1443,0.00136994,0.00136994,0.00136994
11,12369,1.31535,0.76232,1.11385,0.90751,0.86094,0.92773,0.58076,1.28801,0.64187,1.12892,0.00133693,0.00133693,0.00133693
12,13338.6,1.30509,0.76405,1.11076,0.91068,0.87152,0.931,0.59446,1.26004,0.64725,1.1115,0.00130393,0.00130393,0.00130393
13,14400,1.29714,0.74471,1.10685,0.91434,0.85921,0.92688,0.60162,1.24923,0.64232,1.11228,0.00127092,0.00127092,0.00127092
14,15470.8,1.29624,0.73266,1.10768,0.91323,0.86855,0.93043,0.60049,1.25939,0.6425,1.11458,0.00123791,0.00123791,0.00123791
15,16533.3,1.28026,0.71951,1.09838,0.91154,0.86723,0.9353,0.60103,1.24948,0.62473,1.12028,0.00120491,0.00120491,0.00120491
16,17629.9,1.27314,0.70878,1.09654,0.9192,0.88031,0.93892,0.61659,1.21593,0.60149,1.0989,0.0011719,0.0011719,0.0011719
17,18725.9,1.27232,0.70696,1.08958,0.9233,0.88253,0.94149,0.61579,1.22252,0.59095,1.10311,0.00113889,0.00113889,0.00113889
18,19815.5,1.27472,0.70072,1.09669,0.91622,0.88038,0.93937,0.6148,1.22112,0.60907,1.09686,0.00110589,0.00110589,0.00110589
19,20840.8,1.25899,0.68922,1.08832,0.91912,0.88859,0.9454,0.61964,1.22748,0.57482,1.09673,0.00107288,0.00107288,0.00107288
20,21891.3,1.26507,0.68318,1.08808,0.92749,0.89126,0.94881,0.62864,1.20321,0.56781,1.09347,0.00103987,0.00103987,0.00103987
21,22934.2,1.25565,0.67145,1.08627,0.92558,0.89474,0.95003,0.62191,1.22913,0.56728,1.10159,0.00100687,0.00100687,0.00100687
22,23944.3,1.25085,0.67429,1.08286,0.92441,0.89379,0.9476,0.62725,1.20368,0.56672,1.08822,0.000973861,0.000973861,0.000973861
23,25008.9,1.24434,0.66603,1.07991,0.929,0.90125,0.94983,0.62909,1.1983,0.55454,1.09047,0.000940855,0.000940855,0.000940855
24,26039.2,1.24112,0.6625,1.08495,0.9311,0.90033,0.95111,0.63457,1.19337,0.54504,1.08629,0.000907848,0.000907848,0.000907848
25,27058.6,1.23775,0.65068,1.07772,0.92992,0.90996,0.95758,0.63506,1.18189,0.5393,1.08257,0.000874842,0.000874842,0.000874842
26,28070,1.22532,0.645,1.06939,0.92613,0.90815,0.953,0.6394,1.18167,0.53951,1.08111,0.000841835,0.000841835,0.000841835
27,29374.3,1.23105,0.64352,1.07727,0.92903,0.90408,0.95086,0.63759,1.18916,0.53814,1.08527,0.000808828,0.000808828,0.000808828
28,30839,1.22252,0.63131,1.06676,0.93,0.9053,0.95542,0.63932,1.18392,0.52783,1.08144,0.000775822,0.000775822,0.000775822
29,32054.8,1.21409,0.62802,1.06925,0.93358,0.90758,0.95492,0.64058,1.18242,0.52217,1.07752,0.000742815,0.000742815,0.000742815
30,33217.7,1.20952,0.61862,1.06303,0.93292,0.90493,0.95328,0.64643,1.16436,0.51905,1.06916,0.000709809,0.000709809,0.000709809
31,34407.6,1.21712,0.61878,1.06731,0.9357,0.91502,0.95912,0.64672,1.16767,0.51443,1.07011,0.000676802,0.000676802,0.000676802
32,35630.3,1.20619,0.61491,1.06326,0.92903,0.90935,0.95964,0.65091,1.15722,0.50616,1.06857,0.000643795,0.000643795,0.000643795
33,36722,1.20172,0.60061,1.05955,0.93174,0.91586,0.96032,0.65366,1.15334,0.50344,1.06593,0.000610789,0.000610789,0.000610789
34,37965.4,1.20305,0.59989,1.05875,0.93388,0.91727,0.96192,0.65567,1.14658,0.49425,1.06224,0.000577782,0.000577782,0.000577782
35,38954.1,1.1911,0.59667,1.05952,0.93869,0.91714,0.96449,0.65462,1.15046,0.49288,1.06133,0.000544776,0.000544776,0.000544776
36,40279.7,1.18468,0.59314,1.05194,0.93791,0.92105,0.96286,0.66106,1.13597,0.48848,1.05549,0.000511769,0.000511769,0.000511769
37,1443.76,1.17765,0.58522,1.04699,0.93835,0.91902,0.96365,0.66066,1.13769,0.48844,1.05912,0.000478762,0.000478762,0.000478762
38,2943.7,1.17339,0.58267,1.05022,0.93482,0.92417,0.96582,0.66337,1.13428,0.48365,1.05665,0.000445756,0.000445756,0.000445756
39,4158.59,1.16708,0.57662,1.04868,0.94228,0.92254,0.96683,0.66386,1.12762,0.47853,1.05201,0.000412749,0.000412749,0.000412749
40,5485.14,1.17119,0.57394,1.05249,0.94148,0.92587,0.96613,0.66495,1.12846,0.47491,1.05118,0.000379743,0.000379743,0.000379743
41,6616.9,1.15829,0.51809,1.05455,0.94137,0.92273,0.96586,0.66979,1.11657,0.47237,1.04917,0.000346736,0.000346736,0.000346736
42,8007.36,1.15066,0.50695,1.05221,0.94431,0.92466,0.9679,0.67074,1.11322,0.46451,1.04633,0.000313729,0.000313729,0.000313729
43,9104.45,1.14535,0.50587,1.05064,0.94552,0.92659,0.96909,0.67436,1.10749,0.46278,1.04535,0.000280723,0.000280723,0.000280723
44,10117,1.13771,0.4998,1.0455,0.94384,0.92935,0.96985,0.67282,1.10203,0.45867,1.04109,0.000247716,0.000247716,0.000247716
45,11114.6,1.13038,0.48963,1.04499,0.94453,0.92962,0.97047,0.67908,1.09059,0.4537,1.0387,0.00021471,0.00021471,0.00021471
46,12152.9,1.12384,0.48689,1.03876,0.94597,0.93142,0.9717,0.6803,1.08847,0.44955,1.03482,0.000181703,0.000181703,0.000181703
47,13185.7,1.11718,0.48236,1.03609,0.94323,0.93348,0.97088,0.68296,1.0862,0.44514,1.03364,0.000148696,0.000148696,0.000148696
48,14219.5,1.11406,0.47743,1.03288,0.9441,0.93533,0.97262,0.68348,1.08016,0.44151,1.03187,0.00011569,0.00011569,0.00011569
49,15212.2,1.11451,0.47791,1.03439,0.94869,0.93347,0.97288,0.68568,1.07716,0.43969,1.03009,8.26832e-05,8.26832e-05,8.26832e-05
50,16245.3,1.10706,0.4717,1.03163,0.94795,0.93429,0.97321,0.68693,1.07419,0.43722,1.0288,4.96766e-05,4.96766e-05,4.96766e-05
